model,pred_len,epoch,train_loss,val_loss,r2_val,r2_val_sklearn
FEDformer,14,1,19288.288504464286,16861.262,0.05936941438482035,0.031037950978102437
FEDformer,14,2,18596.527727399553,17433.506,0.02000168338209074,-0.009520908713333989
FEDformer,14,3,19020.31183733259,16792.27,0.0678497182975234,0.03976039471850893
FEDformer,14,4,18168.62381417411,16506.098,0.08349831869571533,0.05588458165969228
FEDformer,14,5,18330.652204241072,16256.933,0.10067271731318617,0.07357923047242225
FEDformer,14,6,17958.930315290178,15944.278,0.12307599013855886,0.09665959339289097
FEDformer,14,7,17501.84148297991,15758.978,0.13521133689929932,0.1091653507843116
FEDformer,14,8,17919.02901785714,15665.222,0.14375815564195138,0.11798146645168497
FEDformer,14,9,18153.00753348214,16001.25,0.11592184369648895,0.08930969168087478
FEDformer,14,10,17831.039969308036,15688.369,0.13952941035325395,0.11362562078588091
FEDformer,14,11,17325.957275390625,15432.606,0.15839286211271508,0.13305877900582236
FEDformer,14,12,16942.906354631697,15219.842,0.1745068738029526,0.14965938882529192
FEDformer,14,13,16541.801234654016,15055.654,0.18541357325621233,0.16089755636299813
FEDformer,14,14,16688.59061104911,15144.013,0.18154464335731135,0.15691568270896608
FEDformer,14,15,16524.01736886161,14852.767,0.20298373992481977,0.17900272726799218
